                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  21-02-2024 17:35:44:189:881               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:44:290:596        received response from 81138                                 -
  21-02-2024 17:35:44:290:720                         current pid                              81118
  21-02-2024 17:35:44:290:806               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:44:291:179        received response from 81118                                 -
  21-02-2024 17:35:44:291:271                         current pid                              81136
  21-02-2024 17:35:44:291:353               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:44:391:927        received response from 81136                                 -
   21-02-2024 17:35:44:392:27                         current pid                              81138
  21-02-2024 17:35:44:392:104               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:44:492:448        received response from 81138                                 -
  21-02-2024 17:35:44:492:550                         current pid                              81118
  21-02-2024 17:35:44:492:628               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:44:492:949        received response from 81118                                 -
   21-02-2024 17:35:44:493:32                         current pid                              81136
  21-02-2024 17:35:44:493:106               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:44:593:689        received response from 81136                                 -
  21-02-2024 17:35:44:593:791                         current pid                              81138
  21-02-2024 17:35:44:593:868               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:44:694:410        received response from 81138                                 -
  21-02-2024 17:35:44:694:538                         current pid                              81118
  21-02-2024 17:35:44:694:619               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:44:694:932        received response from 81118                                 -
   21-02-2024 17:35:44:695:15                         current pid                              81136
   21-02-2024 17:35:44:695:89               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:44:795:680        received response from 81136                                 -
  21-02-2024 17:35:44:795:809                         current pid                              81138
  21-02-2024 17:35:44:795:969               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:44:896:424        received response from 81138                                 -
  21-02-2024 17:35:44:896:584                         current pid                              81118
  21-02-2024 17:35:44:896:726               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:44:997:124        received response from 81118                                 -
  21-02-2024 17:35:44:997:277                         current pid                              81136
  21-02-2024 17:35:44:997:413               sent SIGUSR1 to 81136                                 -
   21-02-2024 17:35:45:98:146        received response from 81136                                 -
   21-02-2024 17:35:45:98:226                         current pid                              81138
   21-02-2024 17:35:45:98:295               sent SIGUSR1 to 81138                                 -
   21-02-2024 17:35:45:199:11        received response from 81138                                 -
  21-02-2024 17:35:45:199:165                         current pid                              81118
  21-02-2024 17:35:45:199:303               sent SIGUSR1 to 81118                                 -
   21-02-2024 17:35:45:300:46        received response from 81118                                 -
  21-02-2024 17:35:45:300:190                         current pid                              81136
  21-02-2024 17:35:45:300:323               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:45:400:763        received response from 81136                                 -
  21-02-2024 17:35:45:400:875                         current pid                              81138
  21-02-2024 17:35:45:400:964               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:45:501:497        received response from 81138                                 -
  21-02-2024 17:35:45:501:599                         current pid                              81118
  21-02-2024 17:35:45:501:676               sent SIGUSR1 to 81118                                 -
   21-02-2024 17:35:45:502:16        received response from 81118                                 -
  21-02-2024 17:35:45:502:100                         current pid                              81136
  21-02-2024 17:35:45:502:172               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:45:602:758        received response from 81136                                 -
  21-02-2024 17:35:45:602:874                         current pid                              81138
  21-02-2024 17:35:45:602:959               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:45:703:700        received response from 81138                                 -
  21-02-2024 17:35:45:703:816                         current pid                              81118
  21-02-2024 17:35:45:703:949               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:45:704:171        received response from 81118                                 -
  21-02-2024 17:35:45:704:240                         current pid                              81136
  21-02-2024 17:35:45:704:312               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:45:804:628        received response from 81136                                 -
  21-02-2024 17:35:45:804:697                         current pid                              81138
  21-02-2024 17:35:45:804:748               sent SIGUSR1 to 81138                                 -
